Nr.;Kunde;Liegenschaft;Gebäude;Ebene;Raum;Prüfobjekt;Gruppe;Typ;Hersteller;Seriennummer;Kostenstelle;Abteilung;Bemerkung;Art;Prüfdatum;RPE;RPE Grenzwert;VDE 0701-0702-VLTG Erfolgreich;UP;IP;RISO;RISO Grenzwert;UISO;IISO;VDE 0701-0702 Erfolgreich;IB?;IB? Grenzwert;U?;f;P;S;PF;I;U;IPE?;IPE? Grenzwert;ULN;Frequenz(Ist);VDE 0701-0702-EDV Erfolgreich;
1;;;;;;;;;;;;;;Wurzel;;;;;;;;;;;;;;;;;;;;;;;;;;
2;004 Spatzennest Penzberg;;;;;;;;;;;;;Kunde;;;;;;;;;;;;;;;;;;;;;;;;;;
3;004 Spatzennest Penzberg;;G1 Hauptgebäude;;;;;;;;;;;Gebäude;;;;;;;;;;;;;;;;;;;;;;;;;;
4;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;;;;;;;;;;Ebene;;;;;;;;;;;;;;;;;;;;;;;;;;
5;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;;;;;;;;;Raum;;;;;;;;;;;;;;;;;;;;;;;;;;
6;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0001 Kaltgeräteleitung;;NT Laptop;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
7;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0001 Kaltgeräteleitung;;NT Laptop;;;;;;Secutest Messung;17.02.2017 18:58:31;245 mO;=300 mO;Bestanden;57 mV;232 mA;300 MO;=1,00 MO;512 V;0,1 mA;;;;;;;;;;;;;;;;
8;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0002 Netzteil;;Laptop;HP;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
9;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0002 Netzteil;;Laptop;HP;;;;;Secutest Messung;17.02.2017 19:04:57;;;;;;300 MO;=2,00 MO;512 V;0,1 mA;Bestanden;2 µA;=500 µA;229,9 V;50,0 Hz50,0 Hz;1 W;4 VA;1,00 ;0,02 A;234,7 V;;;;;;
10;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0003 Kaltgeräteleitung;;Beamer;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
11;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0003 Kaltgeräteleitung;;Beamer;;;;;;Secutest Messung;17.02.2017 19:00:05;212 mO;=300 mO;Bestanden;48 mV;228 mA;300 MO;=1,00 MO;541 V;0,1 mA;;;;;;;;;;;;;;;;
12;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0004 Kaltgeräteleitung;;Beamer;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
13;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0004 Kaltgeräteleitung;;Beamer;;;;;;Secutest Messung;17.02.2017 18:56:52;249 mO;=300 mO;Bestanden;58 mV;232 mA;300 MO;=1,00 MO;540 V;0,1 mA;;;;;;;;;;;;;;;;
14;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0005 Beamer;;MP623;Benq;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
15;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0005 Beamer;;MP623;Benq;;;;;Secutest Messung;17.02.2017 19:06:42;208 mO;=300 mO;;48 mV;232 mA;300 MO;=1,00 MO;542 V;0,1 mA;Bestanden;;;;50,0 Hz;4 W;14 VA;0,30 ;0,06 A;234,7 V;429 µA430 µA;=3,50 mA=3,50 mA;234,9 V234,6 V;50,0 Hz50,0 Hz;;
16;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0006 Laminier Gerät;;A3300;Olympia;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
17;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0006 Laminier Gerät;;A3300;Olympia;;;;;Secutest Messung;17.02.2017 19:09:17;;;;;;300 MO;=2,00 MO;511 V;0,1 mA;Bestanden;2 µA;=500 µA;229,9 V;50,0 Hz50,0 Hz;371 W;371 VA;1,00 ;1,59 A;233,4 V;;;;;;
18;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0007 Verlängerungsleitung;;5m;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
19;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0007 Verlängerungsleitung;;5m;;;;;;Secutest Messung;17.02.2017 19:14:44;86 mO;=300 mO;Bestanden;20 mV;232 mA;300 MO;=1,00 MO;512 V;0,1 mA;;;;;;;;;;;;;;;;
20;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0008 Kaltgeräteleitung;;Monitor;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
21;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0008 Kaltgeräteleitung;;Monitor;;;;;;Secutest Messung;17.02.2017 23:10:11;138 mO;=300 mO;Bestanden;32 mV;232 mA;300 MO;=1,00 MO;512 V;0,1 mA;;;;;;;;;;;;;;;;
22;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0009 Monitor;;BP10001;Belinea;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
